               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.036622,            0.030147,            0.002618,             0.72808,             0.63129,             0.66684,             0.35852,            0.037186,            0.024294,           0.0036228,            0.005644,            0.005644,            0.005644
                  68,            0.036484,            0.030652,           0.0024609,             0.76196,             0.62292,             0.67518,              0.3666,            0.037116,            0.024238,           0.0035123,            0.005578,            0.005578,            0.005578
                  69,            0.036622,            0.030401,            0.002617,             0.75038,             0.62589,               0.677,             0.36743,            0.037123,            0.024358,            0.003475,            0.005512,            0.005512,            0.005512
                  70,            0.036508,             0.03079,           0.0024476,              0.7689,             0.62021,             0.67845,             0.36492,            0.037081,             0.02428,           0.0035589,            0.005446,            0.005446,            0.005446
                  71,            0.036517,            0.030091,           0.0025225,             0.74324,             0.61829,             0.67295,             0.36385,            0.037144,            0.024408,           0.0035828,             0.00538,             0.00538,             0.00538
                  72,            0.036484,            0.030467,           0.0025015,             0.73876,             0.63267,             0.67902,             0.37022,            0.037056,            0.024302,           0.0035777,            0.005314,            0.005314,            0.005314
                  73,            0.036278,            0.030421,             0.00241,              0.7697,             0.62075,             0.67801,             0.36073,            0.037273,            0.024453,           0.0035045,            0.005248,            0.005248,            0.005248
                  74,            0.036429,            0.030424,           0.0024975,             0.77988,             0.62393,             0.67984,             0.37071,            0.037094,            0.024403,           0.0035876,            0.005182,            0.005182,            0.005182
                  75,            0.036009,            0.029799,           0.0024014,             0.76007,             0.62662,             0.68002,             0.36549,            0.037163,            0.024373,           0.0035501,            0.005116,            0.005116,            0.005116
                  76,            0.036128,            0.030385,           0.0023078,             0.74963,             0.63879,             0.68335,             0.37119,            0.037178,            0.024359,           0.0035827,             0.00505,             0.00505,             0.00505
                  77,            0.035904,            0.030265,           0.0022601,             0.75975,             0.62587,              0.6765,             0.36753,            0.036986,            0.024405,           0.0035841,            0.004984,            0.004984,            0.004984
                  78,            0.035987,            0.029737,           0.0024036,             0.76778,             0.62945,              0.6742,             0.37007,            0.037072,            0.024474,           0.0036264,            0.004918,            0.004918,            0.004918
                  79,            0.035686,            0.030042,           0.0023348,             0.75688,             0.62702,             0.67586,             0.37083,            0.037032,            0.024325,           0.0035197,            0.004852,            0.004852,            0.004852
                  80,            0.035921,            0.030083,           0.0023702,              0.7622,             0.63057,             0.68097,             0.37287,            0.036972,            0.024293,           0.0035566,            0.004786,            0.004786,            0.004786
                  81,            0.035741,            0.029717,           0.0022564,             0.77283,             0.61855,             0.67746,             0.37171,            0.036943,            0.024383,           0.0035511,             0.00472,             0.00472,             0.00472
                  82,            0.035847,            0.029818,           0.0023425,             0.76063,             0.63866,             0.68363,             0.37619,            0.036848,            0.024387,           0.0035821,            0.004654,            0.004654,            0.004654
                  83,             0.03559,            0.029935,           0.0023145,             0.78491,             0.62254,             0.68206,              0.3737,            0.036925,            0.024383,           0.0035328,            0.004588,            0.004588,            0.004588
                  84,            0.035595,            0.029472,           0.0021886,             0.74506,             0.63743,             0.68163,             0.37321,            0.036713,            0.024243,           0.0035141,            0.004522,            0.004522,            0.004522
                  85,            0.035336,            0.029481,           0.0022893,             0.77826,             0.62564,             0.68565,             0.37722,            0.036794,            0.024309,           0.0035225,            0.004456,            0.004456,            0.004456
                  86,            0.035464,            0.029616,           0.0022452,             0.78009,              0.6372,             0.68776,              0.3742,            0.036778,            0.024282,            0.003537,             0.00439,             0.00439,             0.00439
                  87,            0.035355,            0.029582,           0.0023824,             0.78001,             0.63972,             0.68945,             0.37529,            0.036729,            0.024284,           0.0036025,            0.004324,            0.004324,            0.004324
                  88,            0.035191,            0.029434,           0.0022783,             0.77008,             0.63225,             0.68019,             0.37397,            0.036753,            0.024249,           0.0036256,            0.004258,            0.004258,            0.004258
                  89,            0.035234,            0.029618,           0.0021399,             0.75432,             0.65034,             0.68731,              0.3765,            0.036728,            0.024349,           0.0035236,            0.004192,            0.004192,            0.004192
                  90,            0.035251,            0.029313,           0.0021421,             0.78081,             0.62824,             0.68464,               0.377,            0.036762,            0.024392,           0.0035413,            0.004126,            0.004126,            0.004126
                  91,            0.035031,            0.029049,            0.002216,             0.75184,             0.64316,             0.68255,              0.3776,            0.036715,            0.024349,           0.0035313,             0.00406,             0.00406,             0.00406
                  92,            0.035103,            0.029452,            0.002271,             0.75681,             0.63988,             0.68252,             0.37665,            0.036703,            0.024365,           0.0035075,            0.003994,            0.003994,            0.003994
                  93,            0.034891,             0.02875,           0.0021785,             0.78863,             0.62965,             0.69013,                0.38,            0.036743,            0.024343,           0.0035872,            0.003928,            0.003928,            0.003928
                  94,            0.034648,            0.028819,           0.0021668,             0.78432,             0.63755,              0.6925,             0.38032,            0.036736,            0.024361,           0.0035714,            0.003862,            0.003862,            0.003862
